City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,norman wells,65.282,-126.8329,-41.76,66,0,3.44,CA,1675351203
146,hirara,24.8,125.2833,67.44,78,100,20.15,JP,1675351203
147,kapaa,22.0752,-159.319,73.72,92,20,8.05,US,1675351203
148,kununurra,-15.7667,128.7333,78.78,94,99,0.0,AU,1675351204
149,longyearbyen,78.2186,15.6401,8.44,72,75,20.71,SJ,1675351204
150,kodiak,57.79,-152.4072,27.91,86,20,5.75,US,1675351204
151,fort nelson,58.8053,-122.7002,-14.06,82,40,0.0,CA,1675351205
152,amahai,-3.3333,128.9167,78.89,85,97,7.16,ID,1675351205
153,akcakoca,41.0866,31.1162,44.1,74,99,5.88,TR,1675351206
154,angoche,-16.2325,39.9086,83.14,69,100,6.13,MZ,1675351206
155,paamiut,61.994,-49.6678,12.36,86,100,16.8,GL,1675351206
156,broome,42.2506,-75.833,26.33,64,40,11.5,US,1675351207
157,mar del plata,-38.0023,-57.5575,71.87,86,75,8.99,AR,1675351071
158,bugene,-1.5911,31.1403,70.38,64,75,3.83,TZ,1675351207
159,misratah,32.3754,15.0925,60.1,53,11,8.66,LY,1675351127
160,kemijarvi,66.7131,27.4306,17.96,95,98,6.49,FI,1675351208
161,severo-kurilsk,50.6789,156.125,28.54,93,100,44.16,RU,1675351208
162,iqaluit,63.7506,-68.5145,-36.67,67,20,4.61,CA,1675351209
163,torbay,47.6666,-52.7314,19.38,73,75,14.97,CA,1675351209
164,voyvozh,62.892,54.9635,16.16,93,100,7.56,RU,1675351209
165,jutai,-5.1833,-68.9,70.23,99,100,1.54,BR,1675351210
166,constitucion,-35.3333,-72.4167,72.72,39,0,15.35,CL,1675351210
167,cabo san lucas,22.8909,-109.9124,63.52,74,0,8.05,MX,1675351210
168,san patricio,28.017,-97.5169,39.15,87,100,9.62,US,1675351211
169,esmeraldas,-19.7625,-44.3139,87.91,67,100,5.23,BR,1675351212
170,urucurituba,-2.6833,-57.6667,85.08,63,86,5.03,BR,1675351213
171,petropavlovsk-kamchatskiy,53.0452,158.6483,3.79,61,75,13.42,RU,1675351213
172,kismayo,-0.3582,42.5454,78.66,77,10,15.03,SO,1675351213
173,jinchang,38.4953,102.1739,28.4,39,76,4.45,CN,1675351214
174,papara,-3.9839,-38.7273,88.2,56,52,8.55,BR,1675351214
175,san andres,12.5847,-81.7006,82.42,69,40,18.41,CO,1675351215
176,talnakh,69.4865,88.3972,13.21,96,100,8.97,RU,1675351215
177,kerrobert,51.9168,-109.1348,-11.15,90,73,6.49,CA,1675351216
178,qaanaaq,77.484,-69.3632,-4.18,58,2,9.69,GL,1675351216
179,calamar,10.2511,-74.9146,84.61,43,1,2.77,CO,1675351217
180,bengkulu,-3.8004,102.2655,77.32,88,99,6.64,ID,1675351217
181,steamboat springs,40.485,-106.8317,11.7,87,0,0.0,US,1675351217
182,shangrao,28.4532,117.9686,44.91,73,100,2.28,CN,1675351218
183,cherskiy,68.75,161.3,-9.99,99,97,4.09,RU,1675351218
184,nemuro,43.3236,145.575,17.11,70,32,19.57,JP,1675351218
185,odessa,46.4775,30.7326,36.52,82,28,8.93,UA,1675351204
186,bambous virieux,-20.3428,57.7575,81.21,83,40,6.91,MU,1675351219
187,edissiya,44.0511,44.5408,35.35,98,100,4.07,RU,1675351219
188,mareeba,-17.0,145.4333,76.44,94,100,2.8,AU,1675350953
189,dese,11.1333,39.6333,62.19,39,98,7.94,ET,1675351220
190,maniitsoq,65.4167,-52.9,6.37,80,100,8.55,GL,1675351221
